"issue_key","issuetype_x","created_x","STEP","OB","EB","has_CODE","has_STACK","has_TESTCASE","TASK","has_ATTACHMENT","LINK","issuetype_y","created_y","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog","issuetype_x","created_x","reporter_x","sp_estimator","reporter_bugnum","reporter_recent_bugnum","reporter_stable_sp_rate","estimator_bugnum","estimator_recent_bugnum","estimator_stable_sp_rate","assignee_bugnum","assignee_recent_bugnum","assignee_stable_sp_rate","issuetype_y","created_y","sp_change","text_multinomial","text_gaussian","text_bernoulli","text_complement","GROUP","collab_betweenness","collab_closeness","collab_clustering_coeff","collab_eigen_vector","collab_in_degree","collab_kcore","collab_out_degree","collab_total_degree","reporter_y","count_comment_before","count_summ_before","wordsDiff","firststorypoints","sp_sprint","sp_diff"
"MESOS-5179","Improvement","2016-04-11T23:25:06.000+0000",0,0,0,False,False,False,0,False,1,"Improvement","2016-04-11T23:25:06.000+0000",21,-19.6755,9.8545,47.36363636363637,18.7364,35.451818181818176,45.7273,9.70820393249937,"Improvement","2016-04-11T23:25:06.000+0000","gyliu","gyliu",3,2,1.0,3,2,1.0,5,4,1.0,"Improvement","2016-04-11T23:25:06.000+0000",False,0.0128612463493799,0.0,2.718691931645064e-06,0.1372733263601862,"S",0.3894927536231884,0.5416666666666666,0.0,0.5107550807737983,13.0,2.0,17.0,30.0,"gyliu",0,1,0,3.0,1.0,-2.0
"MESOS-5174","Improvement","2016-04-11T18:22:03.000+0000",0,0,0,True,False,False,6,False,0,"Improvement","2016-04-11T18:22:03.000+0000",131,68.1421,13.6,39.71428571428572,7.2329,8.37985714285714,10.5816,12.16515138991168,"Improvement","2016-04-11T18:22:03.000+0000","kaysoky","kaysoky",42,10,0.9558823529411764,42,10,0.9558823529411764,42,10,0.945945945945946,"Improvement","2016-04-11T18:22:03.000+0000",False,0.0034643055818012,0.0,9.620296848254391e-09,0.0407262094179963,"S",0.1773908236594804,0.1925925925925926,0.0,0.3285087505017221,26.0,2.0,124.0,150.0,"kaysoky",0,0,0,3.0,3.0,0.0
"MESOS-5173","Task","2016-04-11T16:27:56.000+0000",0,0,0,False,False,False,0,False,0,"Task","2016-04-11T16:27:56.000+0000",165,53.991,15.5494,45.195402298850574,10.5316,10.839252873563218,10.9135,13.645812948447542,"Task","2016-04-11T16:27:56.000+0000","karya","karya",21,7,0.9393939393939394,21,7,0.9393939393939394,21,7,0.9393939393939394,"Task","2016-04-11T16:27:56.000+0000",False,0.0177494302291666,0.0,0.000321867097911,0.1678127065014766,"B",0.4037433155080214,0.6470588235294118,0.0,0.5477203343945436,22.0,2.0,21.0,43.0,"karya",0,0,0,3.0,3.0,0.0
"MESOS-5173","Task","2016-04-11T16:27:56.000+0000",0,0,0,False,False,False,0,False,0,"Task","2016-04-11T16:27:56.000+0000",165,53.991,15.5494,45.195402298850574,10.5316,10.839252873563218,10.9135,13.645812948447542,"Task","2016-04-11T16:27:56.000+0000","karya","karya",21,7,0.9393939393939394,21,7,0.9393939393939394,21,7,0.9393939393939394,"Task","2016-04-11T16:27:56.000+0000",False,0.0177494302291666,0.0,0.000321867097911,0.1678127065014766,"B",0.4037433155080214,0.6470588235294118,0.0,0.5477203343945436,22.0,2.0,21.0,43.0,"karya",0,0,0,3.0,3.0,0.0
"MESOS-5172","Bug","2016-04-11T16:23:58.000+0000",0,0,0,False,False,False,0,False,0,"Bug","2016-04-11T16:23:58.000+0000",76,61.4951,12.9633,48.86392405063291,9.5884,12.054620253164558,12.2056,11.660254037844387,"Bug","2016-04-11T16:23:58.000+0000","gilbert","gilbert",16,10,0.9516129032258064,16,10,0.9516129032258064,22,12,0.9523809523809524,"Bug","2016-04-11T16:23:58.000+0000",False,0.0414071872662451,0.0,4.576507664246057e-05,0.3252544390729252,"B",0.3409703504043126,0.3962264150943396,0.0,0.4783397970287524,42.0,2.0,91.0,133.0,"gilbert",0,0,0,3.0,3.0,0.0
"MESOS-5171","Task","2016-04-11T16:16:57.000+0000",0,0,0,False,False,False,0,False,0,"Task","2016-04-11T16:16:57.000+0000",47,32.6625,15.4333,53.16666666666667,14.6658,16.769375000000004,15.7131,13.246950765959598,"Task","2016-04-11T16:16:57.000+0000","karya","karya",20,6,0.9393939393939394,20,6,0.9393939393939394,20,6,0.9393939393939394,"Task","2016-04-11T16:16:57.000+0000",False,0.0122166002099259,0.0,1.530750793244929e-06,0.121277937710936,"B",0.4037433155080214,0.6470588235294118,0.0,0.5477203343945436,22.0,2.0,21.0,43.0,"karya",0,0,0,3.0,3.0,0.0
"MESOS-5171","Task","2016-04-11T16:16:57.000+0000",0,0,0,False,False,False,0,False,0,"Task","2016-04-11T16:16:57.000+0000",47,32.6625,15.4333,53.16666666666667,14.6658,16.769375000000004,15.7131,13.246950765959598,"Task","2016-04-11T16:16:57.000+0000","karya","karya",20,6,0.9393939393939394,20,6,0.9393939393939394,20,6,0.9393939393939394,"Task","2016-04-11T16:16:57.000+0000",False,0.0122166002099259,0.0,1.530750793244929e-06,0.121277937710936,"B",0.4037433155080214,0.6470588235294118,0.0,0.5477203343945436,22.0,2.0,21.0,43.0,"karya",0,0,0,3.0,3.0,0.0
"MESOS-5170","Improvement","2016-04-11T16:08:10.000+0000",0,0,0,False,False,False,0,False,0,"Improvement","2016-04-11T16:08:10.000+0000",25,35.0995,13.0,56.5,11.469,13.4568,17.6112,11.660254037844387,"Improvement","2016-04-11T16:08:10.000+0000","js84","js84",19,10,0.9166666666666666,19,10,0.9166666666666666,22,9,1.0,"Improvement","2016-04-11T16:08:10.000+0000",False,0.0106010957825298,0.0,5.351495736613589e-14,0.1260870664442269,"A",0.3677536231884058,0.875,0.0,0.6416872060740724,21.0,2.0,10.0,31.0,"js84",0,0,0,3.0,5.0,2.0
"MESOS-5170","Improvement","2016-04-11T16:08:10.000+0000",0,0,0,False,False,False,0,False,0,"Improvement","2016-04-11T16:08:10.000+0000",25,35.0995,13.0,56.5,11.469,13.4568,17.6112,11.660254037844387,"Improvement","2016-04-11T16:08:10.000+0000","js84","js84",19,10,0.9166666666666666,19,10,0.9166666666666666,22,9,1.0,"Improvement","2016-04-11T16:08:10.000+0000",False,0.0335085604769783,0.0,2.094669742252221e-07,0.2789677889682103,"B",0.3677536231884058,0.875,0.0,0.6416872060740724,21.0,2.0,10.0,31.0,"js84",0,0,0,3.0,5.0,2.0
"MESOS-5169","Improvement","2016-04-11T16:05:29.000+0000",0,0,0,False,False,False,0,False,0,"Improvement","2016-04-11T16:05:29.000+0000",25,11.4115,16.2,68.5,14.773,15.529199999999996,20.2028,13.246950765959598,"Improvement","2016-04-11T16:05:29.000+0000","js84","js84",18,9,0.9166666666666666,18,9,0.9166666666666666,21,8,1.0,"Improvement","2016-04-11T16:05:29.000+0000",False,0.0206961407784248,1.0,8.394379544724321e-09,0.1908323683183911,"B",0.3677536231884058,0.875,0.0,0.6416872060740724,21.0,2.0,10.0,31.0,"js84",0,1,0,3.0,3.0,0.0
"MESOS-5169","Improvement","2016-04-11T16:05:29.000+0000",0,0,0,False,False,False,0,False,0,"Improvement","2016-04-11T16:05:29.000+0000",25,11.4115,16.2,68.5,14.773,15.529199999999996,20.2028,13.246950765959598,"Improvement","2016-04-11T16:05:29.000+0000","js84","js84",18,9,0.9166666666666666,18,9,0.9166666666666666,21,8,1.0,"Improvement","2016-04-11T16:05:29.000+0000",False,0.0206961407784248,1.0,8.394379544724321e-09,0.1908323683183911,"B",0.3677536231884058,0.875,0.0,0.6416872060740724,21.0,2.0,10.0,31.0,"js84",0,1,0,3.0,3.0,0.0
